domains,Have_IP,Have_At,URL_Length,URL_Depth,Redirection,https_Domain,TinyURL,Prefix/Suffix,DNS_Record,Web_Traffic,Domain_Age,Domain_End,iFrame,Mouse_Over,Right_Click,Web_Forwards,char_number,char_word,char_symbol,son_domain,Label
dlrect-smtb.jp.ap1.ib.nexustation.com,0,0,0.1736842105263158,0.3333333333333333,0,0,0,0,0,1.0,1,0,1,1,1,0.0588235294117647,0.027027027027027,0.8108108108108109,0.1621621621621621,0.5,1
www.nt-webspace.com,0,0,0.0789473684210526,0.13333333333333333,0,0,0,0,0,1.0,1,1,0,0,1,0.0588235294117647,0.0,0.8421052631578947,0.1578947368421052,0.5,0
samemealylightweightprocess.trabar55.repl.co,0,0,0.2105263157894736,0.2,0,0,0,0,0,1.0,1,1,0,0,1,0.0,0.0454545454545454,0.8863636363636364,0.0681818181818181,0.6,1
akamaized.net,0,0,0.0473684210526315,0.06666666666666667,0,0,0,0,0,1.0,1,1,1,1,1,0.0588235294117647,0.0,0.9230769230769232,0.0769230769230769,0.4,0
ldworen.net,0,0,0.0368421052631578,0.06666666666666667,0,0,0,0,0,1.0,1,1,0,0,1,0.0,0.0,0.9090909090909092,0.0909090909090909,0.4,0
web.mit.edu,0,0,0.0368421052631578,0.13333333333333333,0,0,0,0,0,1.0,1,1,0,0,1,0.0588235294117647,0.0,0.8181818181818182,0.1818181818181818,0.1,0
mdream.www7.50megs.com,0,0,0.0947368421052631,0.2,0,0,0,0,0,1.0,1,1,0,0,1,0.0,0.1363636363636363,0.7272727272727273,0.1363636363636363,0.5,0
www.webiphany.com,0,0,0.0684210526315789,0.13333333333333333,0,0,0,0,0,1.0,1,1,0,0,1,0.0588235294117647,0.0,0.8823529411764706,0.1176470588235294,0.5,0
server12.de7o1f1.ddnss.eu,0,0,0.1105263157894736,0.2,0,0,0,0,0,1.0,1,1,1,1,1,0.0588235294117647,0.2,0.68,0.12,0.6,1
digitalisationprofil.firebaseapp.com,0,0,0.1684210526315789,0.13333333333333333,0,0,0,0,1,1.0,1,1,0,0,1,0.0588235294117647,0.0,0.9444444444444444,0.0555555555555555,0.5,1
